target,entropy,surprisal
still,0.015,0
nursing,0.0219,0
collective,0.0173,0
hangover,0.4511,0
bubble,0.0173,0
About,0.0537,0
compared,0.0111,0
US,0.3479,0
according,0.0315,0
data,0.0114,0
spending,0.0106,0
Erika,0.9415,0
Sekiguchi,0.6676,0
extreme,0.0312,0
trading,0.0076,0
employee,0.4258,0
used,0.0045,0
counted,0.0045,0
sick,0.0111,0
Nobody,0.0718,0
uses,0.0146,0
faces,0.0035,0
dilemma,0.1239,0
criticism,0.1912,0
leaving,0.0153,0
colleagues,0.4591,0
lurch,0.0649,0
Yuu,0.2687,0
Wakebe,0.103,0
health,0.0132,0
ministry,0.0083,0
official,0.0146,0
overseeing,0.0757,0
policy,0.0255,0
working,0.0125,0
admits,0.0059,0
putting,0.0168,0
overtime,0.0308,0
month,0.0155,0
blames,0.0173,0
irresistible,0.1146,0
pressure,0.0092,0
match,0.0093,0
hour,0.0104,0
worker,0.0068,0
vacations,0.0128,0
unfortunately,0.2195,0
involves,0.0392,0
quite,0.2204,0
volunteer,0.0719,0
spirit,0.0317,0
